name,authors,publishingAuthor,authorTeam,rank,url,family,genus,species,citationType,distribution,hybrid,hybridGenus,inPowo,linkedPublication,publication,publicationYear,publicationYearNote,referenceCollation,publicationId,recordType,reference,suppressed,topCopy,version,id,fqId,wfoId,hasNomenclaturalNotes,hasExternalLinks,hasTypeData,hasOriginalData,hasLinks,bhlLink,collectionNumber,collectorTeam,pageAsText,typeLocations,infraspecies,remarks,referenceRemarks,speciesAuthor,collectionDate1,locality,typeCoordinates,originalRemarks,bibliographicReference,typeChosenBy,typeRemarks,nameStatus,nameStatusType,originalTaxonDistribution,typeNote,bibliographicTypeInfo,typeName,basionymStr,basionymAuthorStr,basionymId,collectionDate2,originalBasionymAuthorTeam,originalHybridParentage,otherLinks
Cabralea_microcalyx,Harms,Harms,,spec.,/n/39054-2,Meliaceae,Cabralea,microcalyx,tax. nov.,"Goiás (Brazil, Southern America)",FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,12 Mar 1901,"30(1, Beibl. 67): 34",553-2,citation,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 34. 1901 [12 Mar 1901] ",FALSE,TRUE,1.6,39054-2,urn:lsid:ipni.org:names:39054-2,wfo-0000577424,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/211833&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,211833,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabralea_schwackei,C.DC.,C.DC.,,spec.,/n/39068-2,Meliaceae,Cabralea,schwackei,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 365",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 365. 1901 ",FALSE,TRUE,1.1.2.1.1.1,39068-2,urn:lsid:ipni.org:names:39068-2,wfo-0000577451,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabralea_villosa,C.DC.,C.DC.,,spec.,/n/39070-2,Meliaceae,Cabralea,villosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 134,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 134. 1907 ,FALSE,TRUE,1.1.2.1.1.1,39070-2,urn:lsid:ipni.org:names:39070-2,wfo-0000577458,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=134&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_barbata,C.DC.,C.DC.,,spec.,/n/50979-2,Meliaceae,Cedrela,barbata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1894,NA,2: 575,573-2,citation,Bull. Herb. Boissier 2: 575. 1894 ,FALSE,TRUE,1.1.2.1.1.1,50979-2,urn:lsid:ipni.org:names:50979-2,wfo-0000592387,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=575&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_caldasana,C.DC.,C.DC.,,spec.,/n/50984-2,Meliaceae,Cedrela,caldasana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 170,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 170. 1907 ,FALSE,TRUE,1.1.2.1.1.1,50984-2,urn:lsid:ipni.org:names:50984-2,wfo-0000592397,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=170&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_longiflora,C.DC.,C.DC.,,spec.,/n/50999-2,Meliaceae,Cedrela,longiflora,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 173,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 173. 1907 ,FALSE,TRUE,1.1.2.1.1.1,50999-2,urn:lsid:ipni.org:names:50999-2,wfo-0000592427,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=173&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_mourae,C.DC.,C.DC.,,spec.,/n/51007-2,Meliaceae,Cedrela,mourae,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 171,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 171. 1907 ,FALSE,TRUE,1.1.2.1.1.1,51007-2,urn:lsid:ipni.org:names:51007-2,wfo-0000592442,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=171&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_pachyrhachis,C.DC.,C.DC.,,spec.,/n/51012-2,Meliaceae,Cedrela,pachyrhachis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 174,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 174. 1907 ,FALSE,TRUE,1.1.2.1.1.1,51012-2,urn:lsid:ipni.org:names:51012-2,wfo-0000592450,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=174&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_palustris,Handro,Handro,,spec.,/n/51013-2,Meliaceae,Cedrela,palustris,tax. nov.,"Sao Paulo (Brazil, Southern America)",FALSE,FALSE,TRUE,,Arq. Bot. Estado Sao Paulo,1962,NA,"(n. s.) 3: 223, tab. 54A",850-2,citation,"Arq. Bot. Estado Sao Paulo (n. s.) 3: 223, tab. 54A. 1962 ",FALSE,TRUE,1.3,51013-2,urn:lsid:ipni.org:names:51013-2,wfo-0000592451,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_pilgeri,C.DC.,C.DC.,,spec.,/n/51018-2,Meliaceae,Cedrela,pilgeri,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 175,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 175. 1907 ,FALSE,TRUE,1.1.2.1.1.1,51018-2,urn:lsid:ipni.org:names:51018-2,wfo-0000592457,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=175&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_regnellii,C.DC.,C.DC.,,spec.,/n/51020-2,Meliaceae,Cedrela,regnellii,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 174,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 174. 1907 ,FALSE,TRUE,1.1.2.1.1.1,51020-2,urn:lsid:ipni.org:names:51020-2,wfo-0000592459,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=174&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela_tubiflora,Bertoni,Bertoni,,spec.,/n/51029-2,Meliaceae,Cedrela,tubiflora,tax. nov.,"Paraguay, Brazil &amp; Argentina (Misiones)",FALSE,FALSE,TRUE,,Anales Ci. Parag.,1918,NA,"ser. 2, 2: 135",1346-2,citation,"Anales Ci. Parag. ser. 2, 2: 135. 1918 ",FALSE,TRUE,1.3,51029-2,urn:lsid:ipni.org:names:51029-2,wfo-0000592490,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_bilocularis,C.DC.,C.DC.,,spec.,/n/114017-2,Meliaceae,Guarea,bilocularis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Goeldi Hist. Nat. Ethnogr.,1909,NA,5: 435,4221-2,citation,Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5: 435. 1909 ,FALSE,TRUE,1.1.2.1.1.2,114017-2,urn:lsid:ipni.org:names:114017-2,wfo-0000710816,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_jaeggiana,C.DC.,C.DC.,,spec.,/n/114067-2,Meliaceae,Guarea,jaeggiana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1894,NA,2: 570,573-2,citation,Bull. Herb. Boissier 2: 570. 1894 ,FALSE,TRUE,1.1.2.1.1.1,114067-2,urn:lsid:ipni.org:names:114067-2,wfo-0000710920,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=570&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_mucronulata,C.DC.,C.DC.,,spec.,/n/114090-2,Meliaceae,Guarea,mucronulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Notizbl. Königl. Bot. Gart. Berlin,1917,NA,6: 499,3558-2,citation,Notizbl. Königl. Bot. Gart. Berlin 6: 499. 1917 ,FALSE,TRUE,1.1.2.1.1.1,114090-2,urn:lsid:ipni.org:names:114090-2,wfo-0000710980,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1917&rft.spage=499&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_odorata,C.DC.,C.DC.,,spec.,/n/114094-2,Meliaceae,Guarea,odorata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1901,NA,3: 239,858-2,citation,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 239. 1901 ,FALSE,TRUE,1.1.2.1.1.1,114094-2,urn:lsid:ipni.org:names:114094-2,wfo-0000710994,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_punctulata,C.DC.,C.DC.,,spec.,/n/114112-2,Meliaceae,Guarea,punctulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 145,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 145. 1907 ,FALSE,TRUE,1.1.2.1.1.1,114112-2,urn:lsid:ipni.org:names:114112-2,wfo-0000711038,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=145&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_rubricalyx,S.Moore,S.Moore,,spec.,/n/114122-2,Meliaceae,Guarea,rubricalyx,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,"Trans. Linn. Soc. London, Bot.",1895,NA,"ser. 2, 4: 336",1084-2,citation,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 336. 1895 ",FALSE,TRUE,1.3,114122-2,urn:lsid:ipni.org:names:114122-2,wfo-0000711060,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guarea_verrucosa,C.DC.,C.DC.,,spec.,/n/114153-2,Meliaceae,Guarea,verrucosa,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 146,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 146. 1907 ,FALSE,TRUE,1.1.2.1.1.1,114153-2,urn:lsid:ipni.org:names:114153-2,wfo-0000711121,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=146&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moschoxylum_emarginatum,Turcz.,Turcz.,,spec.,/n/315596-2,Meliaceae,Moschoxylum,emarginatum,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Soc. Imp. Naturalistes Moscou,1858,NA,31: 413,880-2,citation,Bull. Soc. Imp. Naturalistes Moscou 31: 413. 1858 ,FALSE,TRUE,1.4,315596-2,urn:lsid:ipni.org:names:315596-2,wfo-0001247601,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1858&rft.spage=413&rft.volume=31&rft_id=http://www.biodiversitylibrary.org/bibliography/4951&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,[Gandhi 12 May 1998],NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_alta,S.F.Blake,S.F.Blake,,spec.,/n/256783-2,Meliaceae,Trichilia,alta,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Contr. U.S. Natl. Herb.,1919,NA,20: 241,605-2,citation,Contr. U.S. Natl. Herb. 20: 241. 1919 ,FALSE,TRUE,1.5,256783-2,urn:lsid:ipni.org:names:256783-2,wfo-0000455570,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/374057&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,374057,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_brachythyrsus,Harms,Harms,,spec.,/n/256788-2,Meliaceae,Trichilia,brachythyrsus,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bot. Jahrb. Syst.,1901,12 Mar 1901,"30(1, Beibl. 67): 32",553-2,citation,"Bot. Jahrb. Syst. 30(1, Beibl. 67): 32. 1901 [12 Mar 1901] ",FALSE,TRUE,1.5,256788-2,urn:lsid:ipni.org:names:256788-2,wfo-0001083436,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_bradei,Harms,Harms,,spec.,/n/256789-2,Meliaceae,Trichilia,bradei,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Notizbl. Bot. Gart. Berlin-Dahlem,1937,NA,13: 503,1019-2,citation,Notizbl. Bot. Gart. Berlin-Dahlem 13: 503. 1937 ,FALSE,TRUE,1.4,256789-2,urn:lsid:ipni.org:names:256789-2,wfo-0001247573,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=503&rft.volume=13&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_canjerana,Vell.,Vell.,,spec.,/n/315595-2,Meliaceae,Trichilia,canjerana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Flumin.,1829,1825 publ. 7 Sep-28 Nov 1829,176,932-2,citation,Fl. Flumin. 176. 1829 [1825 publ. 7 Sep-28 Nov 1829] ,FALSE,TRUE,1.5,315595-2,urn:lsid:ipni.org:names:315595-2,wfo-0000455550,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.spage=176&rft_id=http://www.biodiversitylibrary.org/bibliography/745&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,[Gandhi 12 May 1998],NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_casarettoi,C.DC.,C.DC.,,spec.,/n/315594-2,Meliaceae,Trichilia,casarettoi,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Fl. Bras. (Martius),1878,1 Feb 1878,11(1): 217,629-2,citation,Fl. Bras. (Martius) 11(1): 217. 1878 [1 Feb 1878] ,FALSE,TRUE,1.1.2.1.1.5,315594-2,urn:lsid:ipni.org:names:315594-2,wfo-0001083437,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/145389&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,145389,NA,NA,[Gandhi 12 May 1998],NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_fragrans,C.DC.,C.DC.,,spec.,/n/256825-2,Meliaceae,Trichilia,fragrans,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 363",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 363. 1901 ",FALSE,TRUE,1.1.2.1.1.2,256825-2,urn:lsid:ipni.org:names:256825-2,wfo-0001083451,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_glabriramea,C.DC.,C.DC.,,spec.,/n/256828-2,Meliaceae,Trichilia,glabriramea,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 156,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 156. 1907 ,FALSE,TRUE,1.1.2.1.1.2,256828-2,urn:lsid:ipni.org:names:256828-2,wfo-0001083454,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=156&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_goyazana,C.DC.,C.DC.,,spec.,/n/256829-2,Meliaceae,Trichilia,goyazana,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Annuaire Conserv. Jard. Bot. Genève,1907,NA,10: 153,1145-2,citation,Annuaire Conserv. Jard. Bot. Genève 10: 153. 1907 ,FALSE,TRUE,1.1.2.1.1.2,256829-2,urn:lsid:ipni.org:names:256829-2,wfo-0001083456,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=153&rft.volume=10&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_gracilis,Loes.,Loes.,,spec.,/n/256831-2,Meliaceae,Trichilia,gracilis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Flora,1889,NA,72(n. s. 47): 75,648-2,citation,Flora 72(n. s. 47): 75. 1889 ,FALSE,TRUE,1.4,256831-2,urn:lsid:ipni.org:names:256831-2,wfo-0001083457,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_laminensis,Barb.Rodr.,Barb.Rodr.,,spec.,/n/256854-2,Meliaceae,Trichilia,laminensis,tax. nov.,"Minas Gerais (Brazil, Southern America)",FALSE,FALSE,TRUE,,Contr. Jard. Bot. Rio de Janeiro,1907,NA,"4: 89, tab. 12",3500-2,citation,"Contr. Jard. Bot. Rio de Janeiro 4: 89, tab. 12. 1907 ",FALSE,TRUE,1.4,256854-2,urn:lsid:ipni.org:names:256854-2,wfo-0001083654,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=89&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/68943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_levis,C.DC.,C.DC.,,spec.,/n/256861-2,Meliaceae,Trichilia,levis,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1894,NA,2: 573,573-2,citation,Bull. Herb. Boissier 2: 573. 1894 ,FALSE,TRUE,1.1.2.1.1.2,256861-2,urn:lsid:ipni.org:names:256861-2,wfo-0001083466,FALSE,TRUE,TRUE,FALSE,FALSE,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=573&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichilia_lobulata,C.DC.,C.DC.,,spec.,/n/256862-2,Meliaceae,Trichilia,lobulata,tax. nov.,Brazil (Southern America),FALSE,FALSE,TRUE,,Bull. Herb. Boissier,1901,NA,"ser. 2, 1: 364",573-2,citation,"Bull. Herb. Boissier ser. 2, 1: 364. 1901 ",FALSE,TRUE,1.1.2.1.1.2,256862-2,urn:lsid:ipni.org:names:256862-2,wfo-0001083467,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
